"No.","Time","Source","Destination","Protocol","Length","Info"
"98","34.408388000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"99","34.413394000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"100","34.418382000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"101","34.428387000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"102","34.433370000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"103","34.438382000","fe80::212:7400:e33:1389","ff02::1a","ICMPv6","118","RPL Control (DODAG Information Object)"
"104","45.017536000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=1, hop limit=63 (no response found!)"
"105","45.022196000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=1, hop limit=63 (reply in 107)"
"106","45.022961000","","","IEEE 802.15.4","5","Ack"
"107","45.109828000","aaaa::212:7400:e33:1389","aaaa::1","ICMPv6","102","Echo (ping) reply id=0x53c3, seq=1, hop limit=64 (request in 105)"
"108","45.110530000","","","IEEE 802.15.4","5","Ack"
"109","45.791520000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=2, hop limit=63 (no response found!)"
"110","45.795812000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=2, hop limit=63 (no response found!)"
"111","45.800439000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=2, hop limit=63 (no response found!)"
"112","45.804736000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=2, hop limit=63 (no response found!)"
"113","45.809430000","aaaa::1","aaaa::212:7400:e33:1389","ICMPv6","102","Echo (ping) request id=0x53c3, seq=2, hop limit=63 (no response found!)"
